https://www.leasebreak.com/short-term-rental-details/146432/1096-broadway,"1096 Broadway, 2A","Bedford-Stuyvesant, Brooklyn","$1,200",2 MONTH MIN,Immediate,"Sep 06, 2019","BEDROOMS:
Just a Room","BATHROOMS:
1 (Shared)",Furnished Only,"['Renovated', 'Superb Views', 'Exceptional Light', 'Elevator']",Apartment Share,Agent/Broker [Big Apple Living],Rental building,Yes,The poster of this listing is NOT charging a brokerage fee.
https://www.leasebreak.com/short-term-rental-details/90817/662-madison-street,662 Madison Street,"Bedford-Stuyvesant, Brooklyn","$1,200",2.5 MONTH MIN,Immediate,"Sep 14, 2019","BEDROOMS:
Just a Room","BATHROOMS:
2 (Shared)",Furnished Only,"['Renovated', 'Superb Views', 'Exceptional Light', 'Private Outdoor Space']",Apartment Share,Professional Landlord ,Rental building,Yes,The poster of this listing is NOT charging a brokerage fee.
https://www.leasebreak.com/short-term-rental-details/155074/429-kent-avenue,"429 Kent Avenue, PH-5","Williamsburg, Brooklyn","$30,000",12 MONTH MIN,Immediate,"Jul 02, 2020","BEDROOMS:
5+","BATHROOMS:
5+",Unfurnished Only,"['Private Outdoor Space', 'Washer / Dryer', 'Doorman', 'Elevator', 'Pet Friendly', 'Gym']",Standard 12 Month Rental,Agent/Broker [Compass],"Lior Barak, (917) 549-XXXXClick to view","Stephen Filipponi, (917) 693-XXXXClick to view",5375
https://www.leasebreak.com/short-term-rental-details/26546/356-bedford-avenue,"356 Bedford Avenue, COMM A","Williamsburg, Brooklyn","$29,500",12 MONTH MIN,Immediate,"Jul 01, 2020","BEDROOMS:
Studio","BATHROOMS:
1",Unfurnished Only,"['Elevator', 'High-rise']",Standard 12 Month Rental,Agent/Broker [Corcoran Group],"Edwin Chung, (718) 422-XXXXClick to view",3255,
https://www.leasebreak.com/short-term-rental-details/139836/360-furman-street,"360 Furman Street, 1126","Brooklyn Heights, Brooklyn","$24,000",12 MONTH MIN,Immediate,"Jul 02, 2020","BEDROOMS:
5+","BATHROOMS:
4.5",Furnished Only,"['Doorman', 'Elevator', 'Pet Friendly', 'Gym']",Standard 12 Month Rental,Agent/Broker [Corcoran Group],5000,,Condo
https://www.leasebreak.com/short-term-rental-details/101276/1-john-street,"1 John Street, 11F","Dumbo, Brooklyn","$20,000",12 MONTH MIN,Immediate,"Jul 01, 2020","BEDROOMS:
4","BATHROOMS:
3.5",Unfurnished Only,"['Washer / Dryer', 'Doorman', 'Elevator', 'Gym']",Standard 12 Month Rental,Agent/Broker [Halstead],2637,,Condo
https://www.leasebreak.com/short-term-rental-details/126604/348-13th-street,"348 13th Street, STE103","Park Slope, Brooklyn","$18,000",12 MONTH MIN,Immediate,"Jul 02, 2020","BEDROOMS:
Studio","BATHROOMS:
3",Unfurnished Only,['Walk-up'],Standard 12 Month Rental,Agent/Broker [Douglas Elliman],5300,,Condop
https://www.leasebreak.com/short-term-rental-details/151000/45-state-street,"45 State Street, TWNH","Brooklyn Heights, Brooklyn","$16,800",12 MONTH MIN,Immediate,"Jul 02, 2020","BEDROOMS:
3","BATHROOMS:
4",Unfurnished Only,"['Private Outdoor Space', 'Washer / Dryer', 'Pet Friendly', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Compass],3420,,Townhouse/house
https://www.leasebreak.com/short-term-rental-details/155146/526-carlton-avenue,"526 Carlton Avenue, Entire Building","Prospect Heights, Brooklyn","$16,000",12 MONTH MIN,Immediate,"Jul 02, 2020","BEDROOMS:
Entire Building","BATHROOMS:
N/A",Unfurnished Only,"['Private Outdoor Space', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Douglas Elliman],,Townhouse/house,Probably. Please confirm.
https://www.leasebreak.com/short-term-rental-details/150557/397-3rd-street,"397 3rd Street, Entire Building","Park Slope, Brooklyn","$16,000",12 MONTH MIN,Immediate,"Jul 02, 2020","BEDROOMS:
Entire Building","BATHROOMS:
N/A",Unfurnished Only,"['Pet Friendly', 'Walk-up']",Standard 12 Month Rental,Agent/Broker [Corcoran Group],"Charlie Pigott, (718) 832-XXXXClick to view",,Townhouse/house
